,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
145699,73119,Shannon Ann MacMillan,F,21.0,165.0,59.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Gold
145811,73175,"Elizabeth ""Beezie"" Madden (Patton-)",F,40.0,168.0,63.0,United States,USA,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
145813,73175,"Elizabeth ""Beezie"" Madden (Patton-)",F,44.0,168.0,63.0,United States,USA,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
145900,73220,Helene Emma Madison,F,19.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Freestyle,Gold
145901,73220,Helene Emma Madison,F,19.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 400 metres Freestyle,Gold
145902,73220,Helene Emma Madison,F,19.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
145904,73221,Tianna Madison-Bartoletta,F,26.0,168.0,58.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
145906,73221,Tianna Madison-Bartoletta,F,30.0,168.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
145907,73221,Tianna Madison-Bartoletta,F,30.0,168.0,58.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Long Jump,Gold
146383,73461,Conrad Emanuel Magnusson (Magnusen-),M,29.0,,,Milwaukee Athletic Club-1,USA,1904 Summer,1904,Summer,St. Louis,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
146524,73532,Kim Ly Maher,F,24.0,167.0,,United States,USA,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Gold
146655,73609,"Phillip Ferdinand ""Phil"" Mahre",M,26.0,175.0,77.0,United States,USA,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Slalom,Gold
146777,73668,Gerald Grant Main,M,24.0,189.0,90.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
147250,73911,Lucas Markian Makowsky,M,22.0,181.0,78.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Gold
147417,73989,"Thomas Andrew ""Tom"" Malchow",M,24.0,198.0,86.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Butterfly,Gold
147746,74136,"Norbert Joseph ""Norm"" Malloy",M,26.0,,,Canada,CAN,1932 Winter,1932,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
147819,74176,Karl Malone,M,29.0,205.0,116.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Gold
147820,74176,Karl Malone,M,32.0,205.0,116.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,Gold
147823,74178,"Maicel Donee Malone (-Wallace, -Trapp)",F,27.0,176.0,61.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
148105,74318,Julia Marie Mancuso (-Fish),F,21.0,168.0,64.0,United States,USA,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Gold
148468,74491,Shelley Isabel Mann,F,19.0,172.0,61.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 100 metres Butterfly,Gold
148469,74492,Harold Thompson Mann,M,21.0,186.0,77.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
148478,74498,Caesar J. (Cesare-) Mannelli (Rambaldi-),M,26.0,171.0,,United States,USA,1924 Summer,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Gold
148544,74525,Madeline Manning-Jackson (-Mims),F,20.0,175.0,75.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 800 metres,Gold
148653,74559,"Charles David ""Charley"" Manring",M,22.0,,,United States,USA,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,Gold
148817,74639,Simone Ashley Manuel,F,20.0,178.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Freestyle,Gold
148819,74639,Simone Ashley Manuel,F,20.0,178.0,73.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
148909,74694,George Edward Mara,M,26.0,,,Canada,CAN,1948 Winter,1948,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
149423,74950,Melanie Margalis,F,24.0,173.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
150029,75237,Robert Davies Marland,M,28.0,195.0,94.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
150031,75239,Patrick Denis Marleau,M,30.0,188.0,95.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
150032,75239,Patrick Denis Marleau,M,34.0,188.0,95.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
150035,75242,"Christian F. ""Chris"" Marlowe",M,32.0,190.0,86.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Gold
150079,75262,McKayla Rose Maroney,F,16.0,160.0,46.0,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Gold
150122,75285,Helen Louise Maroulis,F,24.0,163.0,57.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Featherweight, Freestyle",Gold
150272,75384,"Edward ""Ed"" Marsh",M,26.0,,,Vesper Boat Club,USA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold
150279,75388,"Michael Lawrence ""Mike"" Marsh",M,24.0,178.0,75.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 200 metres,Gold
150280,75388,"Michael Lawrence ""Mike"" Marsh",M,24.0,178.0,75.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
150298,75395,Barbara Ann Marshall,F,14.0,175.0,59.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
150536,75537,"Robert Doud ""Bob"" Martin",M,23.0,,,United States,USA,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxed Fours,Gold
150640,75588,Kevin Martin,M,43.0,185.0,93.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Curling,Curling Men's Curling,Gold
150694,75616,"Patrick Henry ""Pat"" Martin",M,24.0,,,United States-2,USA,1948 Winter,1948,Winter,Sankt Moritz,Bobsleigh,Bobsleigh Men's Four,Gold
150759,75649,William Brittain Martin,M,41.0,,,United States,USA,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Gold
151162,75867,"Angelina L. ""Angel"" Martino (Myers-, -Sims)",F,25.0,165.0,68.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
151165,75867,"Angelina L. ""Angel"" Martino (Myers-, -Sims)",F,29.0,165.0,68.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
151167,75867,"Angelina L. ""Angel"" Martino (Myers-, -Sims)",F,29.0,165.0,68.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
151628,76095,"Jesse William ""John"" Mashburn",M,23.0,189.0,85.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
151755,76154,Geoffrey Travers Mason,M,25.0,,,United States-2,USA,1928 Winter,1928,Winter,Sankt Moritz,Bobsleigh,Bobsleigh Men's Four/Five,Gold
152215,76407,Courtney Lynn Kaiulani  Mathewson,F,25.0,171.0,69.0,United States,USA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
152216,76407,Courtney Lynn Kaiulani  Mathewson,F,29.0,171.0,69.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
152219,76409,"Robert Bruce ""Bob"" Mathias",M,17.0,190.0,92.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Decathlon,Gold
152220,76409,"Robert Bruce ""Bob"" Mathias",M,21.0,190.0,92.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's Decathlon,Gold
152516,76534,"James Randel ""Randy"" Matson",M,23.0,200.0,120.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Shot Put,Gold
152741,76644,Bethanie Lynn Mattek-Sands,F,31.0,168.0,66.0,United States-2,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Mixed Doubles,Gold
152813,76686,"Vincent Edward ""Vince"" Matthews",M,20.0,187.0,81.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
152814,76686,"Vincent Edward ""Vince"" Matthews",M,24.0,187.0,81.0,United States,USA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 400 metres,Gold
153244,76908,Louis William Maxson,M,48.0,,,Potomac Archers,USA,1904 Summer,1904,Summer,St. Louis,Archery,Archery Men's Team Round,Gold
153315,76943,Scott Glenn May,M,22.0,200.0,99.0,United States,USA,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
153321,76947,Misty Erie May-Treanor,F,27.0,175.0,72.0,United States-1,USA,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold
153322,76947,Misty Erie May-Treanor,F,31.0,175.0,72.0,United States-1,USA,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold
153323,76947,Misty Erie May-Treanor,F,34.0,175.0,72.0,United States-1,USA,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Gold
153336,76957,John Edward Mayasich,M,26.0,185.0,86.0,United States,USA,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
153341,76960,Anthuan Maybank,M,26.0,188.0,81.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
153366,76972,Charles Mayer,M,,,72.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Boxing,Boxing Men's Middleweight,Gold
153470,77019,Andrew Lester Maynard,M,24.0,183.0,81.0,United States,USA,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Heavyweight,Gold
153863,77241,Marnie Elizabeth McBean,F,24.0,177.0,74.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxless Pairs,Gold
153864,77241,Marnie Elizabeth McBean,F,24.0,177.0,74.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Women's Coxed Eights,Gold
153865,77241,Marnie Elizabeth McBean,F,28.0,177.0,74.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Women's Double Sculls,Gold
153872,77244,"Thomas Sean ""Tom"" McBreen",M,19.0,183.0,70.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
153884,77254,Frank Reilly McCabe,M,25.0,203.0,102.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Gold
153902,77264,"Albert John ""Bert"" McCaffrey",M,29.0,178.0,82.0,Canada,CAN,1924 Winter,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
153906,77266,"John Paul ""Pete"" McCaffrey",M,25.0,198.0,98.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Gold
153956,77293,"Terrence John ""Terry"" McCann",M,26.0,162.0,57.0,United States,USA,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
153968,77298,"John William ""Jack"" McCartan",M,24.0,185.0,89.0,United States,USA,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
154004,77323,Katrina Felicia McClain (-Johnson),F,22.0,188.0,62.0,United States,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Gold
154006,77323,Katrina Felicia McClain (-Johnson),F,30.0,188.0,62.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Gold
154012,77326,"Robert Bruce ""Rob"" McClanahan",M,22.0,178.0,82.0,United States,USA,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
154053,77344,Wilbert James McClure,M,21.0,170.0,70.0,United States,USA,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Light-Middleweight,Gold
154089,77363,"Suzanne Theresa ""Suzie"" McConnell (-Serio)",F,22.0,162.0,50.0,United States,USA,1988 Summer,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Gold
154128,77388,"Patricia Joan ""Pat"" McCormick (Keller-)",F,22.0,162.0,58.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Diving,Diving Women's Springboard,Gold
154129,77388,"Patricia Joan ""Pat"" McCormick (Keller-)",F,22.0,162.0,58.0,United States,USA,1952 Summer,1952,Summer,Helsinki,Diving,Diving Women's Platform,Gold
154130,77388,"Patricia Joan ""Pat"" McCormick (Keller-)",F,26.0,162.0,58.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Diving,Diving Women's Springboard,Gold
154131,77388,"Patricia Joan ""Pat"" McCormick (Keller-)",F,26.0,162.0,58.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Diving,Diving Women's Platform,Gold
154135,77390,Francena Lynette McCorory,F,23.0,171.0,68.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
154136,77390,Francena Lynette McCorory,F,27.0,171.0,68.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
154142,77394,Angel Lajuane McCoughtry,F,25.0,185.0,70.0,United States,USA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Gold
154143,77394,Angel Lajuane McCoughtry,F,29.0,185.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
154163,77405,Walter Lee McCoy,M,25.0,178.0,72.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
154167,77407,Nikki Kensengane McCray,F,24.0,181.0,72.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Gold
154168,77407,Nikki Kensengane McCray,F,28.0,181.0,72.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Gold
154188,77417,"Steven D. ""Steve"" McCrory",M,20.0,165.0,51.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Flyweight,Gold
154206,77432,Joan Elizabeth McCusker (Inglis-),F,32.0,170.0,95.0,Canada,CAN,1998 Winter,1998,Winter,Nagano,Curling,Curling Women's Curling,Gold
154212,77436,"Mildred Louise ""Millie"" McDaniel (-Singleton)",F,23.0,176.0,55.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's High Jump,Gold
154238,77445,"Richard Terrance ""Terry"" McDermott",M,23.0,178.0,80.0,United States,USA,1964 Winter,1964,Winter,Innsbruck,Speed Skating,Speed Skating Men's 500 metres,Gold
154279,77460,Gordon McDonald,M,,,,Galt Football Club,CAN,1904 Summer,1904,Summer,St. Louis,Football,Football Men's Football,Gold
154305,77472,"Patrick Joseph ""Pat"" McDonald (McDonnell-)",M,33.0,190.0,120.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Shot Put,Gold
154308,77472,"Patrick Joseph ""Pat"" McDonald (McDonnell-)",M,41.0,190.0,120.0,United States,USA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 56-pound Weight Throw,Gold
154369,77496,Antonio Keithflen McDyess,M,26.0,202.0,109.0,United States,USA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
154393,77510,Dawn McEwen (Askin-),F,33.0,162.0,61.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Gold
154403,77517,Jennifer Yvonne McFalls,F,28.0,167.0,68.0,United States,USA,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Gold
154440,77533,"Richard Michael ""Rich"" McGeagh",M,20.0,191.0,84.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
154450,77536,Pamela Denise McGee,F,21.0,190.0,77.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,Gold
154456,77542,Carla Renee McGhee,F,28.0,188.0,75.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Gold
154465,77547,Tyler Tennant McGill,M,24.0,180.0,78.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
154470,77549,Perry McGillivray,M,26.0,170.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
154520,77576,"Matthew John ""Matt"" McGrath",M,36.0,182.0,115.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Hammer Throw,Gold
154572,77600,Edith Marie McGuire (-Duvall),F,20.0,173.0,59.0,United States,USA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 200 metres,Gold
154604,77619,"Charles Joseph ""Charley"" McIlvaine, Sr.",M,24.0,179.0,69.0,United States,USA,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Double Sculls,Gold
154667,77649,Ashleigh McIvor (-DeMerit),F,26.0,178.0,66.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Women's Ski Cross,Gold
154681,77654,Antonio Ricardo McKay,M,20.0,183.0,77.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
154682,77654,Antonio Ricardo McKay,M,24.0,183.0,77.0,United States,USA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
154712,77671,Jonathan Dunn McKee,M,24.0,177.0,73.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
154760,77690,"Donald Ward ""Don"" McKenzie, Jr.",M,21.0,186.0,80.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Breaststroke,Gold
154761,77690,"Donald Ward ""Don"" McKenzie, Jr.",M,21.0,186.0,80.0,United States,USA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
154906,77738,Josephine Eveline McKim (-Chalmers),F,18.0,,,United States,USA,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
154908,77738,Josephine Eveline McKim (-Chalmers),F,22.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
154916,77744,"Frank Edward McKinney, Jr.",M,21.0,184.0,74.0,United States,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
154917,77745,Kennedy McKinney,M,22.0,170.0,54.0,United States,USA,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Bantamweight,Gold
154951,77761,Mark Anthony McKoy,M,30.0,181.0,70.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,Gold
154965,77769,"James Price ""Jimmy"" McLane, Jr.",M,17.0,,,United States,USA,1948 Summer,1948,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
154966,77769,"James Price ""Jimmy"" McLane, Jr.",M,17.0,,,United States,USA,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
154969,77769,"James Price ""Jimmy"" McLane, Jr.",M,21.0,,,United States,USA,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
155009,77797,"Matthew ""Matt"" McLean",M,24.0,198.0,100.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
155065,77837,Robert Brian McMahon,M,23.0,178.0,55.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
155117,77868,"William Willard ""Bill"" McMillan",M,31.0,183.0,91.0,United States,USA,1960 Summer,1960,Summer,Roma,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
155139,77880,"James Burge ""Jim"" McMillin",M,21.0,,,United States,USA,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Eights,Gold
155147,77886,Harold Edgar McMunn,M,21.0,,,Canada,CAN,1924 Winter,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
155172,77900,Julianne Lyn McNamara (-Zeile),F,18.0,148.0,40.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Uneven Bars,Gold
155193,77905,Duncan Anderson McNaughton,M,21.0,193.0,80.0,Canada,CAN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's High Jump,Gold
155215,77917,Forest Waldemar McNeir,M,44.0,177.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Trap, Team",Gold
155274,77950,Tony McQuay,M,26.0,181.0,72.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
155314,77972,"Robert Patrick ""Bob"" McVey",M,23.0,190.0,96.0,United States,USA,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
155335,77984,Andrea Bario Mead-Lawrence,F,19.0,173.0,59.0,United States,USA,1952 Winter,1952,Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Gold
155336,77984,Andrea Bario Mead-Lawrence,F,19.0,173.0,59.0,United States,USA,1952 Winter,1952,Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Slalom,Gold
155350,77988,Earle Elmer Meadows,M,23.0,185.0,72.0,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Pole Vault,Gold
155359,77995,Mary Terstegge Meagher (-Plant),F,19.0,172.0,64.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Butterfly,Gold
155360,77995,Mary Terstegge Meagher (-Plant),F,19.0,172.0,64.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Butterfly,Gold
155361,77995,Mary Terstegge Meagher (-Plant),F,19.0,172.0,64.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
155383,78004,"Helen Meany (-Balfe, -Gravis)",F,23.0,152.0,,United States,USA,1928 Summer,1928,Summer,Amsterdam,Diving,Diving Women's Springboard,Gold
155477,78049,Jack Chapman Medica,M,21.0,,,United States,USA,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 400 metres Freestyle,Gold
155715,78168,Charles Thomas Mehan,M,23.0,178.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Rugby,Rugby Men's Rugby,Gold
155755,78195,George Nicholas Mehnert,M,22.0,160.0,54.0,United States,USA,1904 Summer,1904,Summer,St. Louis,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold
155756,78195,George Nicholas Mehnert,M,26.0,160.0,54.0,United States,USA,1908 Summer,1908,Summer,London,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
155772,78204,Peter Joseph Mehringer,M,22.0,,,United States,USA,1932 Summer,1932,Summer,Los Angeles,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
155880,78267,"Catherine Michelle ""Katie"" Meili",F,25.0,170.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
155884,78268,Launi Kay Meili (-Geddes),F,29.0,170.0,64.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold
156156,78424,"Harry Clemens ""Buddy"" Melges, Jr.",M,42.0,183.0,86.0,United States,USA,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Gold
156184,78435,"Judith Ellen ""Judy"" Melick",F,18.0,168.0,57.0,United States,USA,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
156562,78649,Jessica Mendoza (-Burks),F,23.0,173.0,66.0,United States,USA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Gold
156759,78740,Carol Jean Menken-Schaudt,F,26.0,195.0,77.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,Gold
156947,78837,"Raymond A. ""Ray"" Mercer",M,27.0,185.0,91.0,United States,USA,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Heavyweight,Gold
157002,78864,"Richard Otis ""Dick"" Meredith",M,27.0,170.0,70.0,United States,USA,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
157022,78869,"James Edwin ""Ted"" Meredith",M,20.0,175.0,71.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 800 metres,Gold
157023,78869,"James Edwin ""Ted"" Meredith",M,20.0,175.0,71.0,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
157257,78962,Aries D'Andre Merritt,M,27.0,188.0,72.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 110 metres Hurdles,Gold
157262,78964,LaShawn Merritt,M,22.0,191.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 400 metres,Gold
157263,78964,LaShawn Merritt,M,22.0,191.0,86.0,United States,USA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
